station_name,station_code,station_lat,station_long
Mangaon ,MNI,18.2382428,73.281696
Udasar ,UDS,27.5599662,73.2892799
Vangani ,VGI,19.0928603,73.297175
Asranada ,AAS,26.3973428,73.305679
Asangaon ,ASO,19.4395693,73.3079544
Vaitarna ,VTN,19.6746066,73.3104419
Ratnagiri ,RN,16.990215,73.3120233
Bikaner Junction ,BKN,28.0145575,73.3159695
Neral ,NRL,19.0333,73.3167
Lotarva ,LTV,21.1401204,73.317812
Karjat ,KJT,18.9192249,73.3277223
Pali Marwar ,PMY,25.8067382,73.3310776
Bhivpuri Road ,BVS,18.9700103,73.3315382
Deshnok ,DSO,27.8,73.35
Kheri Salwa ,KSW,26.4335399,73.3852372
Kiwar Khed ,HKR,17.7195516,73.3968136
Khed ,KHED,17.7195516,73.3968136
Bhoke ,BOKE,17.0417386,73.3984311
Jamsar ,JMS,28.2567266,73.398867
Vyara ,VYA,21.1167,73.4
Karchha ,KDHA,23.7321367,73.4052923
Karanjadi ,KFD,17.9990416,73.409181
Vinhere ,VINH,17.9072092,73.409181
Lonavala ,LNL,18.75,73.4167
Diwankhavati ,DWV,17.8552102,73.4184815
Gajsinghpur ,GJS,29.6598368,73.4386466
Bomadra ,BOM,25.7813595,73.4393832
Somesar ,SOS,25.5192162,73.4519048
Jo Jagabor ,JO,23.7399827,73.453585
Shri Karanpur ,SRW,29.842133,73.456324
Ukshi ,UKC,17.1302746,73.4569684
Gadhwala ,GDW,27.9672383,73.4592701
Derol ,DRL,22.6301336,73.4619498
Kalol ,KLL,22.60993,73.46264
Malwan ,MWH,16.0667,73.4667
Nivasar ,NIV,16.9556017,73.4681081
Takal ,TAKL,33.3744342,73.4681081
Tung ,TUNG,18.6511366,73.471054
Kasara ,KSRA,19.6437849,73.472527
Kikakui Road ,KKRD,21.1281597,73.4726465
Nokha ,NOK,27.5562169,73.4731871
Malavli ,MVL,18.7450562,73.4754729
Visapur ,VPR,18.7216171,73.4901237
Dosvada ,DSD,21.1231609,73.49462
Savarda ,SVX,17.404655,73.5151327
